日付,時刻,降水量
20200913,1,0.0
20200913,2,0.0
20200913,3,0.0
20200913,4,0.0
20200913,5,0.0
20200913,6,0.0
20200913,7,0.0
20200913,8,0.0
20200913,9,0.0
20200913,10,0.0
20200913,11,0.0
20200913,12,0.0
20200913,13,0.0
20200913,14,0.0
20200913,15,0.0
20200913,16,0.0
20200913,17,0.0
20200913,18,0.0
20200913,19,0.0
20200913,20,0.0
20200913,21,0.0
20200913,22,0.0
20200913,23,0.0
20200913,24,0.0
20200914,1,0.0
20200914,2,-
20200914,3,-
20200914,4,-
20200914,5,-
20200914,6,-
20200914,7,-
20200914,8,-
20200914,9,-
20200914,10,-
20200914,11,-
20200914,12,-
20200914,13,-
20200914,14,-
20200914,15,-
20200914,16,-
20200914,17,-
20200914,18,-
20200914,19,-
20200914,20,-
20200914,21,-
20200914,22,-
20200914,23,-
20200914,24,-
